2010-07-22 23:41:32 Debug: Notice (8): Undefined property: Post::$schema in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 135]
2010-07-23 00:49:23 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 21]
2010-07-23 00:49:23 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 22]
2010-07-23 00:49:23 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 23]
2010-07-23 00:49:23 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 24]
2010-07-23 00:49:23 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 25]
2010-07-23 00:49:23 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 27]
2010-07-23 00:49:23 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 28]
2010-07-23 00:49:23 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 29]
2010-07-23 00:49:42 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 21]
2010-07-23 00:49:42 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 22]
2010-07-23 00:49:42 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 23]
2010-07-23 00:49:42 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 24]
2010-07-23 00:49:42 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 25]
2010-07-23 00:49:43 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 27]
2010-07-23 00:49:43 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 28]
2010-07-23 00:49:43 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 29]
2010-07-23 00:49:44 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 21]
2010-07-23 00:49:44 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 22]
2010-07-23 00:49:44 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 23]
2010-07-23 00:49:44 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 24]
2010-07-23 00:49:44 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 25]
2010-07-23 00:49:44 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 27]
2010-07-23 00:49:44 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 28]
2010-07-23 00:49:44 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 29]
2010-07-23 00:49:48 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 21]
2010-07-23 00:49:48 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 22]
2010-07-23 00:49:48 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 23]
2010-07-23 00:49:48 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 24]
2010-07-23 00:49:48 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 25]
2010-07-23 00:49:48 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 27]
2010-07-23 00:49:48 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 28]
2010-07-23 00:49:48 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 29]
2010-07-23 00:50:45 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 21]
2010-07-23 00:50:45 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 22]
2010-07-23 00:50:45 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 23]
2010-07-23 00:50:45 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 24]
2010-07-23 00:50:45 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 25]
2010-07-23 00:50:45 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 27]
2010-07-23 00:50:45 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 28]
2010-07-23 00:50:45 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 29]
2010-07-23 00:52:03 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 21]
2010-07-23 00:52:03 Debug: Notice (8): Undefined index: created in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 24]
2010-07-23 00:52:03 Debug: Notice (8): Undefined index: updated in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 25]
2010-07-23 00:52:03 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 27]
2010-07-23 00:52:03 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 28]
2010-07-23 00:52:03 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 29]
2010-07-23 00:55:49 Debug: Notice (8): Undefined index: created in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 22]
2010-07-23 00:55:49 Debug: Notice (8): Undefined index: updated in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 23]
2010-07-23 00:55:49 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 25]
2010-07-23 00:55:49 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 26]
2010-07-23 00:55:49 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 27]
2010-07-23 00:56:18 Debug: Notice (8): Undefined index: created in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 22]
2010-07-23 00:56:18 Debug: Notice (8): Undefined index: updated in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 23]
2010-07-23 00:57:17 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 6]
2010-07-23 00:57:17 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 11]
2010-07-23 00:57:17 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 16]
2010-07-23 00:57:17 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 21]
2010-07-23 00:57:17 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 26]
2010-07-23 00:57:17 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 34]
2010-07-23 00:57:17 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 35]
2010-07-23 00:58:45 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 6]
2010-07-23 00:58:46 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 11]
2010-07-23 00:58:46 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 16]
2010-07-23 00:58:46 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 21]
2010-07-23 00:58:46 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 26]
2010-07-23 00:58:46 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 34]
2010-07-23 00:58:46 Debug: Notice (8): Undefined index: Post in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 35]
2010-07-23 01:12:07 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 6]
2010-07-23 01:12:07 Debug: Notice (8): Undefined index: created in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 21]
2010-07-23 01:12:07 Debug: Notice (8): Undefined index: updated in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 26]
2010-07-23 01:12:07 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 34]
2010-07-23 01:12:07 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\view.ctp, line 35]
2010-07-23 01:29:11 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 260]
2010-07-23 01:29:21 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 285]
2010-07-23 01:30:00 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 285]
2010-07-23 01:32:30 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 285]
2010-07-23 01:32:32 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 285]
2010-07-23 01:32:37 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 285]
2010-07-23 01:34:56 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 285]
2010-07-23 01:37:27 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 285]
2010-07-23 01:49:38 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 260]
2010-07-23 01:50:45 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 260]
2010-07-23 01:50:48 Debug: Notice (8): Undefined property: Post::$rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 260]
2010-07-23 02:00:06 Debug: Notice (8): Undefined index: 4_rev in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 230]
